Disease	DiseaseId
Congenital brain damage	1769
Congenital bronchomalacia	1770
Congenital cardiovascular anomaly	1771
Congenital central hypoventilation syndrome	1772
Congenital central nervous system anomaly	1773
Congenital cerebral cyst	1774
Congenital cerebrovascular anomaly	1775
Congenital chylothorax	1776
Congenital coagulopathy	1777
Congenital corneal anomaly	1778
Congenital coronary artery malformation	1779
Congenital cyst	1780
Congenital cystic kidney disease	1781
Congenital cystic lung	1782
Congenital cytomegalovirus infection	1783
Congenital dermal sinus	1784
Congenital diaphragmatic hernia	1785
Congenital disorder of glycosylation	1786
Congenital dyserythropoietic anaemia	1787
Congenital dyskeratosis	1788
Congenital ectodermal dysplasia	1789
Congenital ectopic pancreas	1790
Congenital endocrine anomaly	1791
Congenital eye disorder	1792
Congenital eyelid malformation	1793
Congenital fibrosarcoma	1794
Congenital gastrointestinal vessel anomaly	1795
Congenital genital malformation female	1796
Congenital hand malformation	1797
Congenital hearing disorder	1798
Congenital hepatic fibrosis	1799
Congenital hepatitis B infection	1800
Congenital hepatobiliary anomaly	1801
Congenital hiatus hernia	1802
Congenital hydrocephalus	1803
Congenital hydronephrosis	1804
Congenital hypercoagulation	1805
Congenital hyperinsulinaemic hypoglycaemia	1806
Congenital hypothyroidism	1807
Congenital infection	1808
Congenital jaw malformation	1809
Congenital knee deformity	1810
Congenital megacolon	1811
Congenital melanosis	1812
Congenital mitral valve incompetence	1813
Congenital mitral valve stenosis	1814
Congenital multiplex arthrogryposis	1815
Congenital musculoskeletal anomaly	1816
Congenital myopathy	1817
Congenital myopia	1818
Congenital naevus	1819
Congenital nephrotic syndrome	1820
Congenital neurological degeneration	1821
Congenital neurological disorder	1822
Congenital nose malformation	1823
Congenital nystagmus	1824
Congenital oesophageal anomaly	1825
Congenital oesophageal stenosis	1826
Congenital optic nerve anomaly	1827
Congenital osteodystrophy	1828
Congenital pancreatic anomaly	1829
Congenital pulmonary artery anomaly	1830
Congenital pulmonary hypertension	1831
Congenital pulmonary valve atresia	1832
Congenital renal cyst	1833
Congenital renal disorder	1834
Congenital retinoblastoma	1835
Congenital rubella infection	1836
Congenital scoliosis	1837
Congenital small intestinal atresia	1838
Congenital spinal cord anomaly	1839
Congenital syphilis	1840
Congenital teratoma	1841
Congenital thrombocyte disorder	1842
Congenital thrombocytopenia	1843
Congenital toxoplasmosis	1844
Congenital tracheomalacia	1845
Congenital tricuspid valve atresia	1846
Congenital tuberculosis	1847
Congenital ureterocele	1848
Congenital uterine anomaly	1849
Congenital white blood cell disorder	1850
Congestive cardiomyopathy	1851
Congestive hepatopathy	1852
Conjunctival deposit	1853
Conjunctival disorder	1854
Conjunctival haemorrhage	1855
Conjunctival hyperaemia	1856
Conjunctival melanoma	1857
Conjunctival neoplasm	1858
Conjunctival oedema	1859
Conjunctival pallor	1860
Conjunctival ulcer	1861
Conjunctivitis	1862
Conjunctivitis allergic	1863
Conjunctivitis bacterial	1864
Conjunctivitis viral	1865
Conjunctivochalasis	1866
Connective tissue disorder	1867
Constipation	1868
Constipation prophylaxis	1869
Constricted affect	1870
Continuous haemodiafiltration	1871
Continuous positive airway pressure	1872
Contraception	1873
Contracted bladder	1874
Contrast media allergy	1875
Contrast media reaction	1876
Controlled ovarian stimulation	1877
Contusion	1878
Conversion disorder	1879
Convulsion in childhood	1880
Convulsions local	1881
Cooling therapy	1882
Coombs negative haemolytic anaemia	1883
Coombs test positive	1884
Coordination abnormal	1885
Cor pulmonale	1886
Cord blood transplant therapy	1887
Corneal decompensation	1888
Corneal defect	1889
Corneal degeneration	1890
Corneal disorder	1891
Corneal dystrophy	1892
Corneal endotheliitis	1893
Corneal epithelium defect	1894
Corneal erosion	1895
Corneal exfoliation	1896
Corneal graft rejection	1897
Corneal infiltrates	1898
Corneal lesion	1899
Corneal leukoma	1900
Corneal neovascularisation	1901
Corneal oedema	1902
Corneal opacity	1903
Corneal perforation	1904
Corneal scar	1905
Corneal transplant	1906
Cornelia de Lange syndrome	1907
Coronary angioplasty	1908
Coronary arterial stent insertion	1909
Coronary artery aneurysm	1910
Coronary artery bypass	1911
Coronary artery dilatation	1912
Coronary artery disease	1913
Coronary artery dissection	1914
Coronary artery embolism	1915
Coronary artery insufficiency	1916
Coronary artery occlusion	1917
Coronary artery restenosis	1918
Coronary artery stenosis	1919
Coronary artery surgery	1920
Coronary artery thrombosis	1921
Coronary revascularisation	1922
Coronary vascular graft occlusion	1923
Coronavirus infection	1924
Coronavirus test negative	1925
Corrected transposition of great vessels	1926
Corrective lens user	1927
Corrosive gastritis	1928
Cortical dysplasia	1929
Corticobasal degeneration	1930
Cortisol decreased	1931
Cortisol increased	1932
Corynebacterium infection	1933
Costello syndrome	1934
Cotard's syndrome	1935
Cough	1936
Cough variant asthma	1937
Cowden's disease	1938
Cows milk free diet	1939
Cox-Maze procedure	1940
Coxsackie virus test positive	1941
Cranial nerve disorder	1942
Cranial nerve injury	1943
Cranial nerve paralysis	1944
Craniocerebral injury	1945
Craniofacial deformity	1946
Craniofacial dysostosis	1947
Craniopharyngioma	1948
Cranioplasty	1949
Craniosynostosis	1950
Craniotomy	1951
Creatinine renal clearance	1952
Creatinine renal clearance decreased	1953
Crepitations	1954
Creutzfeldt-Jakob disease	1955
Cri du Chat syndrome	1956
Critical illness	1957
Crohn's disease	1958
Cronkhite-Canada syndrome	1959
Croup infectious	1960
Crowned dens syndrome	1961
Crush injury	1962
Crush syndrome	1963
Crying	1964
Cryofibrinogenaemia	1965
Cryoglobulinaemia	1966
Cryoglobulins present	1967
Cryopyrin associated periodic syndrome	1968
Cryotherapy	1969
Cryptococcal fungaemia	1970
Cryptococcosis	1971
Cryptococcus test positive	1972
Cryptogenic cirrhosis	1973
Cryptorchism	1974
Crystal arthropathy	1975
Cubital tunnel syndrome	1976
Cushing's syndrome	1977
Cushingoid	1978
Cutaneous T-cell lymphoma	1979
Cutaneous T-cell lymphoma refractory	1980
Cutaneous T-cell lymphoma stage I	1981
Cutaneous T-cell lymphoma stage II	1982
Cutaneous T-cell lymphoma stage III	1983
Cutaneous T-cell lymphoma stage IV	1984
Cutaneous amyloidosis	1985
Cutaneous calcification	1986
Cutaneous leishmaniasis	1987
Cutaneous lupus erythematosus	1988
Cutaneous lymphoma	1989
Cutaneous sarcoidosis	1990
Cutaneous somatic symptom disorder	1991
Cutaneous sporotrichosis	1992
Cutaneous symptom	1993
Cutaneous tuberculosis	1994
Cutaneous vasculitis	1995
Cyanosis	1996
Cyanosis neonatal	1997
Cyclic neutropenia	1998
Cyclic vomiting syndrome	1999
Cyclothymic disorder	2000
Cyst	2001
Cyst removal	2002
Cystatin C increased	2003
Cystic fibrosis	2004
Cystic lung disease	2005
Cystic lymphangioma	2006
Cystinuria	2007
Cystitis	2008
Cystitis bacterial	2009
Cystitis glandularis	2010
Cystitis haemorrhagic	2011
Cystitis interstitial	2012
Cystitis noninfective	2013
Cystitis radiation	2014
Cystitis viral	2015
Cystitis-like symptom	2016
Cystocele	2017
Cystoid macular oedema	2018
Cystoscopy	2019
Cystostomy	2020
Cytogenetic abnormality	2021
Cytokine release syndrome	2022
Cytokine storm	2023
Cytology abnormal	2024
Cytomegalovirus chorioretinitis	2025
Cytomegalovirus colitis	2026
Cytomegalovirus duodenitis	2027
Cytomegalovirus enterocolitis	2028
Cytomegalovirus gastritis	2029
Cytomegalovirus gastrointestinal infection	2030
Cytomegalovirus gastrointestinal ulcer	2031
Cytomegalovirus hepatitis	2032
Cytomegalovirus infection	2033
Cytomegalovirus mononucleosis	2034
Cytomegalovirus oesophagitis	2035
Cytomegalovirus test	2036
Cytomegalovirus test negative	2037
Cytomegalovirus test positive	2038
Cytomegalovirus viraemia	2039
Cytopenia	2040
Cytoreductive surgery	2041
DNA mismatch repair protein gene mutation	2042
DNMT3A gene mutation	2043
Dacryoadenitis acquired	2044
Dacryocystitis	2045
Dacryostenosis acquired	2046
Dacryostenosis congenital	2047
Dandruff	2048
Dandy-Walker syndrome	2049
Deaf mutism	2050
Deafness	2051
Deafness bilateral	2052
Deafness congenital	2053
Deafness neurosensory	2054
Deafness traumatic	2055
Deafness unilateral	2056
Death of pet	2057
Death of relative	2058
Debridement	2059
Decompressive craniectomy	2060
Decreased activity	2061
Decreased appetite	2062
Decreased immune responsiveness	2063
Decreased interest	2064
Decreased vibratory sense	2065
Decubitus ulcer	2066
Dedifferentiated liposarcoma	2067
Deep brain stimulation	2068
Deep vein thrombosis	2069
Deep vein thrombosis postoperative	2070
Defaecation disorder	2071
Deficiency anaemia	2072
Deficiency of the interleukin-36 receptor antagonist	2073
Deformity thorax	2074
Dehydration	2075
Delayed puberty	2076
Delirium	2077
Delirium tremens	2078
Delivery	2079
Deltaretrovirus test positive	2080
Delusion	2081
Delusion of grandeur	2082
Delusion of parasitosis	2083
Delusion of reference	2084
Delusional disorder, erotomanic type	2085
Delusional disorder, jealous type	2086
Delusional disorder, persecutory type	2087
Delusional disorder, unspecified type	2088
Dementia	2089
Dementia Alzheimer's type	2090
Dementia of the Alzheimer's type, with delirium	2091
Dementia of the Alzheimer's type, with delusions	2092
Dementia of the Alzheimer's type, with depressed mood	2093
Dementia with Lewy bodies	2094
Demyelinating polyneuropathy	2095
Demyelination	2096
Dent's disease	2097
Dental alveolar anomaly	2098
Dental care	2099
Dental caries	2100
Dental cleaning	2101
Dental cyst	2102
Dental disorder prophylaxis	2103
Dental implantation	2104
Dental operation	2105
Dental prosthesis user	2106
Dentatorubral-pallidoluysian atrophy	2107
Denture wearer	2108
Denys-Drash syndrome	2109
Dependence	2110
Depersonalisation/derealisation disorder	2111
Depressed level of consciousness	2112
Depressed mood	2113
Depression	2114
Depression postoperative	2115
Depression suicidal	2116
Depressive delusion	2117
Depressive symptom	2118
Derealisation	2119
Dermal cyst	2120
Dermatitis	2121
Dermatitis acneiform	2122
Dermatitis allergic	2123
Dermatitis atopic	2124
Dermatitis bullous	2125
Dermatitis contact	2126
Dermatitis diaper	2127
Dermatitis exfoliative	2128
Dermatitis exfoliative generalised	2129
Dermatitis infected	2130
Dermatitis papillaris capillitii	2131
Dermatitis psoriasiform	2132
Dermatofibrosarcoma protuberans	2133
Dermatofibrosarcoma protuberans metastatic	2134
Dermatomyositis	2135
Dermatophytosis of nail	2136
Dermatosis	2137
Dermoid cyst	2138
Desmoid tumour	2139
Desmoplastic small round cell tumour	2140
Destructive spondyloarthropathy	2141
Detachment of macular retinal pigment epithelium	2142
Detachment of retinal pigment epithelium	2143
Developmental coordination disorder	2144
Developmental delay	2145
Developmental glaucoma	2146
Developmental hip dysplasia	2147
Developmental regression	2148
Device dependence	2149
Device dislocation	2150
Device failure	2151
Device intolerance	2152
Device lead damage	2153
Device malfunction	2154
Device occlusion	2155
Device related bacteraemia	2156
Device related infection	2157
Device related sepsis	2158
Device therapy	2159
Dextrocardia	2160
DiGeorge's syndrome	2161
Diabetes insipidus	2162
Diabetes mellitus	2163
Diabetes mellitus inadequate control	2164
Diabetes mellitus malnutrition-related	2165
Diabetes mellitus management	2166
Diabetic autonomic neuropathy	2167
Diabetic blindness	2168
Diabetic cardiomyopathy	2169
Diabetic coma	2170
Diabetic complication	2171
Diabetic dermopathy	2172
Diabetic diet	2173
Diabetic dyslipidaemia	2174
Diabetic end stage renal disease	2175
Diabetic enteropathy	2176
Diabetic eye disease	2177
Diabetic foot	2178
Diabetic foot infection	2179
Diabetic gangrene	2180
Diabetic gastroenteropathy	2181
Diabetic gastropathy	2182
Diabetic glaucoma	2183
Diabetic hyperosmolar coma	2184
Diabetic keratopathy	2185
Diabetic ketoacidosis	2186
Diabetic macroangiopathy	2187
Diabetic microangiopathy	2188
Diabetic mononeuropathy	2189
Diabetic nephropathy	2190
Diabetic neuropathic ulcer	2191
Diabetic neuropathy	2192
Diabetic retinal oedema	2193
Diabetic retinopathy	2194
Diabetic ulcer	2195
Diagnostic aspiration	2196
Dialysis	2197
Dialysis amyloidosis	2198
Dialysis device insertion	2199
Dialysis hypotension	2200
Dialysis related complication	2201
Diaphragm neoplasm	2202
Diaphragmatic abnormal relaxation	2203
Diaphragmatic disorder	2204
Diaphragmatic hernia	2205
Diaphragmatic paralysis	2206
Diarrhoea	2207
Diarrhoea haemorrhagic	2208
Diarrhoea infectious	2209
Diastasis recti abdominis	2210
Diastolic dysfunction	2211
Diastolic hypertension	2212
Diencephalic syndrome of infancy	2213
Diet noncompliance	2214
Diet refusal	2215
Dieulafoy's vascular malformation	2216
Differentiation syndrome	2217
Diffuse alopecia	2218
Diffuse alveolar damage	2219
Diffuse axonal injury	2220
Diffuse idiopathic skeletal hyperostosis	2221
Diffuse large B-cell lymphoma	2222
Diffuse large B-cell lymphoma recurrent	2223
Diffuse large B-cell lymphoma stage I	2224
Diffuse large B-cell lymphoma stage II	2225
Diffuse large B-cell lymphoma stage III	2226
Diffuse large B-cell lymphoma stage IV	2227
Diffuse mesangial sclerosis	2228
Diffuse panbronchiolitis	2229
Dihydropyrimidine dehydrogenase deficiency	2230
Dilatation atrial	2231
Dilatation intrahepatic duct congenital	2232
Dilatation ventricular	2233
Diplegia	2234
Diplopia	2235
Direct infection transmission	2236
Disability	2237
Disabled relative	2238
Disaccharide metabolism disorder	2239
Discoloured vomit	2240
Discomfort	2241
Disease complication	2242
Disease progression	2243
Disease recurrence	2244
Disease risk factor	2245
Disease susceptibility	2246
Disinhibition	2247
Dislocation of vertebra	2248
Disorder of globe	2249
Disorganised speech	2250
Disorientation	2251
Disseminated Bacillus Calmette-Guerin infection	2252
Disseminated cryptococcosis	2253
Disseminated intravascular coagulation	2254
Disseminated mucormycosis	2255
Disseminated mycobacterium avium complex infection	2256
Disseminated tuberculosis	2257
Disseminated varicella zoster vaccine virus infection	2258
Disseminated varicella zoster virus infection	2259
Dissociative amnesia	2260
Dissociative disorder	2261
Dissociative identity disorder	2262
Disturbance in attention	2263
Diverticular perforation	2264
Diverticulitis	2265
Diverticulitis intestinal haemorrhagic	2266
Diverticulum	2267
Diverticulum intestinal	2268
Diverticulum intestinal haemorrhagic	2269
Diverticulum oesophageal	2270
Divorced	2271
Divorced parents	2272
Dizziness	2273
Dizziness postural	2274
Documented hypersensitivity to administered product	2275
Dolichocolon	2276
Donor leukocyte infusion	2277
Dopamine dysregulation syndrome	2278
Dopamine transporter scintigraphy abnormal	2279
Dopaminergic drug therapy	2280
Double hit lymphoma	2281
Double inlet left ventricle	2282
Double outlet right ventricle	2283
Double stranded DNA antibody positive	2284
Douglas' abscess	2285
Douglas' pouch mass	2286
Drain placement	2287
Drain removal	2288
Dressler's syndrome	2289
Dropped head syndrome	2290
Drug abuse	2291
Drug abuser	2292
Drug delivery device placement	2293
Drug dependence	2294
Drug eruption	2295
Drug hypersensitivity	2296
Drug ineffective	2297
Drug intolerance	2298
Drug level increased	2299
Drug reaction with eosinophilia and systemic symptoms	2300
Drug resistance	2301
Drug specific antibody present	2302
Drug therapy	2303
Drug tolerance	2304
Drug use disorder	2305
Drug withdrawal syndrome	2306
Drug withdrawal syndrome neonatal	2307
Drug-induced liver injury	2308
Dry eye	2309
Dry gangrene	2310
Dry mouth	2311
Dry skin	2312
Dry weight evaluation	2313
Dubin-Johnson syndrome	2314
Duchenne muscular dystrophy	2315
Ductal adenocarcinoma of pancreas	2316
Ductus arteriosus premature closure	2317
Ductus venosus agenesis	2318
Dumping syndrome	2319
Duodenal atresia	2320
Duodenal neoplasm	2321
Duodenal obstruction	2322
Duodenal operation	2323
Duodenal perforation	2324
Duodenal polyp	2325
Duodenal stenosis	2326
Duodenal ulcer	2327
Duodenal ulcer haemorrhage	2328
Duodenal ulcer perforation	2329
Duodenal varices	2330
Duodenal vascular ectasia	2331
Duodenectomy	2332
Duodenitis	2333
Duodenitis haemorrhagic	2334
Duodenogastric reflux	2335
Duplication of inferior vena cava	2336
Dupuytren's contracture	2337
Dural abscess	2338
Dural arteriovenous fistula	2339
Dural tear	2340
Dust allergy	2341
Dust inhalation pneumopathy	2342
Dwarfism	2343
Dysaesthesia	2344
Dysaesthesia pharynx	2345
Dysarthria	2346
Dysbiosis	2347
Dyscalculia	2348
Dyschezia	2349
Dyschromatopsia	2350
Dyschromatosis	2351
Dysgeusia	2352
Dysgraphia	2353
Dyshidrotic eczema	2354
Dyskinesia	2355
Dyslalia	2356
Dyslexia	2357
Dyslipidaemia	2358
Dysmenorrhoea	2359
Dysmetropsia	2360
Dysmorphism	2361
Dysmorphophobia	2362
Dyspareunia	2363
Dyspepsia	2364
Dysphagia	2365
Dysphonia	2366
Dysphoria	2367
Dysplasia	2368
Dyspnoea	2369
Dyspnoea at rest	2370
Dyspnoea exertional	2371
Dyspraxia	2372
Dyssomnia	2373
Dysstasia	2374
Dystonia	2375
Dysuria	2376
EGFR gene mutation	2377
Eagle Barrett syndrome	2378
Ear discomfort	2379
Ear disorder	2380
Ear haemorrhage	2381
Ear infection	2382
Ear injury	2383
Ear malformation	2384
Ear neoplasm	2385
Ear neoplasm malignant	2386
Ear pain	2387
Ear pruritus	2388
Ear swelling	2389
Ear tube insertion	2390
Ear tuberculosis	2391
Early infantile epileptic encephalopathy with burst-suppression	2392
Early onset familial Alzheimer's disease	2393
Early satiety	2394
Eastern Cooperative Oncology Group performance status	2395
Eastern Cooperative Oncology Group performance status worsened	2396
Eating disorder	2397
Eating disorder symptom	2398
Ebstein's anomaly	2399
Ecchymosis	2400
Eccrine carcinoma	2401
Echinococciasis	2402
Echocardiogram	2403
Echocardiogram abnormal	2404
Eclampsia	2405
Economic problem	2406
Ecthyma	2407
Ectopic ACTH syndrome	2408
Ectopic gastric mucosa	2409
Ectopic kidney	2410
Ectopic parathyroid hormone production	2411
Ectopic pregnancy	2412
Ectrodactyly	2413
Ectropion of cervix	2414
Eczema	2415
Eczema asteatotic	2416
Eczema eyelids	2417
Eczema herpeticum	2418
Eczema infantile	2419
Eczema infected	2420
Eczema nummular	2421
Edentulous	2422
Effusion	2423
Egocentrism	2424
Ehlers-Danlos syndrome	2425
Ejection fraction	2426
Ejection fraction decreased	2427
Elbow deformity	2428
Elderly primigravida	2429
Elective procedure	2430
Electrocardiogram J wave	2431
Electrocardiogram J wave abnormal	2432
Electrocardiogram P wave abnormal	2433
Electrocardiogram PR prolongation	2434
Electrocardiogram QRS complex prolonged	2435
Electrocardiogram QT prolonged	2436
Electrocardiogram QT shortened	2437
Electrocardiogram ST segment depression	2438
Electrocardiogram ST segment elevation	2439
Electrocardiogram ST-T change	2440
Electrocardiogram ST-T segment abnormal	2441
Electrocardiogram T wave abnormal	2442
Electrocardiogram T wave amplitude decreased	2443
Electrocardiogram T wave inversion	2444
Electrocardiogram abnormal	2445
Electrocardiogram high voltage	2446
Electrocauterisation	2447
Electroconvulsive therapy	2448
Electroencephalogram abnormal	2449
Electrolyte imbalance	2450
Electrolyte substitution therapy	2451
Electron radiation therapy	2452
Electron radiation therapy to brain	2453
Embolic cerebral infarction	2454
Embolic stroke	2455
Embolism	2456
Embolism arterial	2457
Embolism venous	2458
Embryonal rhabdomyosarcoma	2459
Emery-Dreifuss muscular dystrophy	2460
Emotional disorder	2461
Emotional disorder of childhood	2462
Emotional distress	2463
Emphysema	2464
Emphysematous cholecystitis	2465
Emphysematous pyelonephritis	2466
Empty sella syndrome	2467
Empyema	2468
Enanthema	2469
Encapsulating peritoneal sclerosis	2470
Encephalitis	2471
Encephalitis Japanese B	2472
Encephalitis autoimmune	2473
Encephalitis brain stem	2474
Encephalitis cytomegalovirus	2475
Encephalitis fungal	2476
Encephalitis influenzal	2477
Encephalitis viral	2478
Encephalocele	2479
Encephalomalacia	2480
Encephalomyelitis	2481
Encephalopathy	2482
Encephalopathy neonatal	2483
Enchondromatosis	2484
End stage renal disease	2485
Endarterectomy	2486
Endocardial cushion defect repair	2487
Endocardial disease	2488
Endocardial fibroelastosis	2489
Endocarditis	2490
Endocarditis bacterial	2491
Endocarditis candida	2492
Endocarditis enterococcal	2493
Endocarditis noninfective	2494
Endocarditis staphylococcal	2495
Endocrine disorder	2496
Endocrine neoplasm	2497
Endocrine neoplasm malignant	2498
Endocrine ophthalmopathy	2499
Endodontic procedure	2500
Endolymphatic hydrops	2501
Endometrial adenocarcinoma	2502
Endometrial cancer	2503
Endometrial cancer stage I	2504
Endometrial cancer stage II	2505
Endometrial cancer stage III	2506
Endometrial cancer stage IV	2507
Endometrial disorder	2508
Endometrial hyperplasia	2509
Endometrial hypertrophy	2510
Endometrial hypoplasia	2511
Endometrial neoplasm	2512
Endometrial sarcoma	2513
Endometrial stromal sarcoma	2514
Endometriosis	2515
Endometriosis ablation	2516
Endometritis	2517
Endophthalmitis	2518
Endoscopic retrograde cholangiopancreatography	2519
Endoscopic ultrasound	2520
Endoscopy	2521
Endoscopy large bowel	2522
Endoscopy small intestine abnormal	2523
Endoscopy upper gastrointestinal tract	2524
Endothelial dysfunction	2525
Endotoxic shock	2526
Endotracheal intubation	2527
Endotracheal intubation complication	2528
Engraft failure	2529
Engraftment syndrome	2530
Enteral nutrition	2531
Enteritis	2532
Enteritis infectious	2533
Enterobacter bacteraemia	2534
Enterobacter infection	2535
Enterocele	2536
Enterococcal infection	2537
Enterococcal sepsis	2538
Enterococcus test positive	2539
Enterocolitis	2540
Enterocolitis bacterial	2541
Enterocolitis haemorrhagic	2542
Enterocolitis infectious	2543
Enterocolitis viral	2544
Enterocutaneous fistula	2545
Enteropathy-associated T-cell lymphoma	2546
Enterostomy	2547
Enterovesical fistula	2548
Enthesopathy	2549
Entropion	2550
Enuresis	2551
Enzyme abnormality	2552
Enzyme supplementation	2553
Eosinopenia	2554
Eosinophil count increased	2555
Eosinophilia	2556
Eosinophilic bronchitis	2557
Eosinophilic cellulitis	2558
Eosinophilic cystitis	2559
Eosinophilic fasciitis	2560
Eosinophilic granulomatosis with polyangiitis	2561
Eosinophilic leukaemia	2562
Eosinophilic myocarditis	2563
Eosinophilic oesophagitis	2564
Eosinophilic otitis media	2565
Eosinophilic pneumonia	2566
Eosinophilic pneumonia acute	2567
Eosinophilic pneumonia chronic	2568
Eosinophilic pustular folliculitis	2569
Ependymoma	2570
Ependymoma malignant	2571
Epicondylitis	2572
Epidermolysis bullosa	2573
Epididymal neoplasm	2574
Epididymitis	2575
Epididymitis tuberculous	2576
Epidural anaesthesia	2577
Epidural analgesia	2578
Epidural catheter placement	2579
Epidural test dose	2580
Epigastric discomfort	2581
Epiglottic cyst	2582
Epiglottitis	2583
Epilepsy	2584
Epilepsy congenital	2585
Epileptic aura	2586
Epileptic encephalopathy	2587
Epileptic psychosis	2588
Epiphyseal surgery	2589
Epiphysiolysis	2590
Episcleritis	2591
Epistaxis	2592
Epithelioid mesothelioma	2593
Epithelioid sarcoma	2594
Epithelioid sarcoma metastatic	2595
Epithelioid sarcoma recurrent	2596
Epstein-Barr virus antibody positive	2597
Epstein-Barr virus associated lymphoma	2598
Epstein-Barr virus associated lymphoproliferative disorder	2599
Epstein-Barr virus infection	2600
Epstein-Barr virus infection reactivation	2601
Epstein-Barr virus test positive	2602
Epulis	2603
Erdheim-Chester disease	2604
Erectile dysfunction	2605
Erosive duodenitis	2606
Erosive oesophagitis	2607
Erysipelas	2608
Erythema	2609
Erythema annulare	2610
Erythema elevatum diutinum	2611
Erythema multiforme	2612
Erythema nodosum	2613
Erythema of eyelid	2614
Erythroblast count increased	2615
Erythroblastosis	2616
Erythroblastosis foetalis	2617
Erythrodermic psoriasis	2618
Erythromelalgia	2619
Erythropenia	2620
Erythropoietin deficiency anaemia	2621
Eschar	2622
Escherichia bacteraemia	2623
Escherichia infection	2624
Escherichia sepsis	2625
Escherichia test positive	2626
Escherichia urinary tract infection	2627
Essential hypertension	2628
Essential thrombocythaemia	2629
Essential tremor	2630
Euphoric mood	2631
Eustachian tube dysfunction	2632
Eustachian tube obstruction	2633
Eustachian tube patulous	2634
Eustachian tube stenosis	2635
Euthyroid sick syndrome	2636
Evans syndrome	2637
Ewing's sarcoma	2638
Ewing's sarcoma metastatic	2639
Ewing's sarcoma recurrent	2640
Ewing-like sarcoma	2641
Ex-alcohol user	2642
Ex-alcoholic	2643
Ex-tobacco user	2644
Exaggerated startle response	2645
Exanthema subitum	2646
Excessive granulation tissue	2647
Exchange blood transfusion	2648
Executive dysfunction	2649
Exercise adequate	2650
Exercise lack of	2651
Exercise tolerance decreased	2652
Exfoliation glaucoma	2653
Exfoliation syndrome	2654
Exfoliative rash	2655
Exocrine pancreatic function test abnormal	2656
Exomphalos	2657
Exophthalmos	2658
Exostosis	2659
Exostosis of external ear canal	2660
Exostosis of jaw	2661
Exposure during pregnancy	2662
Exposure to allergen	2663
Exposure to chemical pollution	2664
Exposure to communicable disease	2665
Exposure to radiation	2666
Exposure to toxic agent	2667
Exsanguination	2668
Extensor plantar response	2669
External auditory canal atresia	2670
External ear cellulitis	2671
External ear pain	2672
External fixation of fracture	2673
Extra-osseous Ewing's sarcoma	2674
Extra-osseous Ewing's sarcoma metastatic	2675
Extracorporeal circulation	2676
Extradural abscess	2677
Extradural haematoma	2678
Extradural neoplasm	2679
Extragonadal primary embryonal carcinoma	2680
Extragonadal primary germ cell tumour	2681
Extragonadal primary germ cell tumour mixed	2682
Extragonadal primary non-seminoma	2683
Extragonadal primary non-seminoma stage III	2684
Extragonadal primary seminoma (pure)	2685
Extragonadal primary seminoma (pure) stage II	2686
Extragonadal primary seminoma (pure) stage III	2687
Extramammary Paget's disease	2688
Extramedullary haemopoiesis	2689
Extranodal marginal zone B-cell lymphoma (MALT type)	2690
Extranodal marginal zone B-cell lymphoma (MALT type) recurrent	2691
Extraocular muscle disorder	2692
Extraocular retinoblastoma	2693
Extrapulmonary tuberculosis	2694
Extrapyramidal disorder	2695
Extraskeletal myxoid chondrosarcoma	2696
Extraskeletal ossification	2697
Extraskeletal osteosarcoma	2698
Extrasystoles	2699
Extravascular haemolysis	2700
Extremity contracture	2701
Extremity necrosis	2702
Extrinsic iliac vein compression	2703
Exudative retinopathy	2704
Eye abscess	2705
Eye allergy	2706
Eye complication associated with device	2707
Eye contusion	2708
Eye degenerative disorder	2709
Eye discharge	2710
Eye disorder	2711
Eye drop instillation	2712
Eye haemorrhage	2713
Eye infection	2714
Eye infection fungal	2715
Eye infection gonococcal	2716
Eye infection syphilitic	2717
Eye infection toxoplasmal	2718
Eye inflammation	2719
Eye injury	2720
Eye irrigation	2721
Eye luxation	2722
Eye movement disorder	2723
Eye naevus	2724
Eye operation	2725
Eye pain	2726
Eye prosthesis user	2727
Eye pruritus	2728
Eye swelling	2729
Eye symptom	2730
Eyelid cyst	2731
Eyelid disorder	2732
Eyelid function disorder	2733
Eyelid infection	2734
Eyelid myoclonus	2735
Eyelid oedema	2736
Eyelid pain	2737
Eyelid ptosis	2738
Eyelids pruritus	2739
FLT3 gene mutation	2740
Fabry's disease	2741
Face injury	2742
Face oedema	2743
Facet joint syndrome	2744
Facial asymmetry	2745
Facial bones fracture	2746
Facial nerve disorder	2747
Facial neuralgia	2748
Facial pain	2749
Facial paralysis	2750
Facial paresis	2751
Facial spasm	2752
Facioscapulohumeral muscular dystrophy	2753
Factitious disorder	2754
Factor I deficiency	2755
Factor IX deficiency	2756
Factor VII deficiency	2757
Factor VIII deficiency	2758
Factor VIII inhibition	2759
Factor XII deficiency	2760
Factor XIII deficiency	2761
Faecal disimpaction	2762
Faecaloma	2763
Faeces discoloured	2764
Faeces hard	2765
Faeces soft	2766
Failure to anastomose	2767
Failure to thrive	2768
Fall	2769
Fallopian tube abscess	2770
Fallopian tube cancer	2771
Fallopian tube cancer metastatic	2772
Fallopian tube cancer stage I	2773
Fallopian tube cancer stage II	2774
Fallopian tube cancer stage III	2775
Fallopian tube cancer stage IV	2776
Fallopian tube disorder	2777
Fallopian tube obstruction	2778
Fallot's tetralogy	2779
False positive investigation result	2780
