AdverseEventPreferredTerm	AdverseEventPreferredTermId
Croup noninfectious	2045
Crowned dens syndrome	2046
Crush injury	2047
Crush syndrome	2048
Crushing injury of trunk	2049
Crying	2050
Cryoglobulinaemia	2051
Cryopyrin associated periodic syndrome	2052
Cryptococcal cutaneous infection	2053
Cryptococcal fungaemia	2054
Cryptococcosis	2055
Cryptococcus test positive	2056
Cryptorchism	2057
Cryptosporidiosis infection	2058
Crystal arthropathy	2059
Crystal deposit intestine	2060
Crystal nephropathy	2061
Crystal urine present	2062
Cubital tunnel syndrome	2063
Culture negative	2064
Culture positive	2065
Cushing's syndrome	2066
Cushingoid	2067
Cutaneous T-cell lymphoma	2068
Cutaneous T-cell lymphoma stage I	2069
Cutaneous amyloidosis	2070
Cutaneous calcification	2071
Cutaneous listeriosis	2072
Cutaneous lupus erythematosus	2073
Cutaneous lymphoma	2074
Cutaneous nocardiosis	2075
Cutaneous sarcoidosis	2076
Cutaneous sporotrichosis	2077
Cutaneous symptom	2078
Cutaneous tuberculosis	2079
Cutaneous vasculitis	2080
Cyanosis	2081
Cyanosis central	2082
Cyanosis neonatal	2083
Cyclic vomiting syndrome	2084
Cyclitis	2085
Cyst	2086
Cyst rupture	2087
Cystadenocarcinoma pancreas	2088
Cystatin C increased	2089
Cystic lung disease	2090
Cystine urine	2091
Cystitis	2092
Cystitis bacterial	2093
Cystitis escherichia	2094
Cystitis haemorrhagic	2095
Cystitis interstitial	2096
Cystitis noninfective	2097
Cystitis radiation	2098
Cystitis viral	2099
Cystitis-like symptom	2100
Cystoid macular oedema	2101
Cytarabine syndrome	2102
Cytogenetic abnormality	2103
Cytogenetic analysis abnormal	2104
Cytokine release syndrome	2105
Cytokine storm	2106
Cytomegalovirus chorioretinitis	2107
Cytomegalovirus colitis	2108
Cytomegalovirus duodenitis	2109
Cytomegalovirus enteritis	2110
Cytomegalovirus enterocolitis	2111
Cytomegalovirus gastritis	2112
Cytomegalovirus gastroenteritis	2113
Cytomegalovirus gastrointestinal infection	2114
Cytomegalovirus gastrointestinal ulcer	2115
Cytomegalovirus hepatitis	2116
Cytomegalovirus infection	2117
Cytomegalovirus infection reactivation	2118
Cytomegalovirus mononucleosis	2119
Cytomegalovirus mucocutaneous ulcer	2120
Cytomegalovirus myelomeningoradiculitis	2121
Cytomegalovirus oesophagitis	2122
Cytomegalovirus pancreatitis	2123
Cytomegalovirus pericarditis	2124
Cytomegalovirus syndrome	2125
Cytomegalovirus test	2126
Cytomegalovirus test positive	2127
Cytomegalovirus viraemia	2128
Cytopenia	2129
Cytotoxic oedema	2130
Dacryoadenitis acquired	2131
Dacryocanaliculitis	2132
Dacryocystitis	2133
Dacryolith	2134
Dacryostenosis acquired	2135
Dacryostenosis congenital	2136
Dandruff	2137
Dandy-Walker syndrome	2138
Dark circles under eyes	2139
Daydreaming	2140
Deafness	2141
Deafness bilateral	2142
Deafness congenital	2143
Deafness neurosensory	2144
Deafness transitory	2145
Deafness unilateral	2146
Death	2147
Death neonatal	2148
Decerebrate posture	2149
Decerebration	2150
Decompression sickness	2151
Decreased activity	2152
Decreased appetite	2153
Decreased immune responsiveness	2154
Decreased interest	2155
Decreased ventricular afterload	2156
Decreased vibratory sense	2157
Decubitus ulcer	2158
Deep brain stimulation	2159
Deep dissecting haematoma	2160
Deep vein thrombosis	2161
Deep vein thrombosis postoperative	2162
Defaecation disorder	2163
Defect conduction intraventricular	2164
Deficiency anaemia	2165
Deformity thorax	2166
Dehydration	2167
Delayed delivery	2168
Delayed fontanelle closure	2169
Delayed recovery from anaesthesia	2170
Delirium	2171
Delirium febrile	2172
Delirium tremens	2173
Delusion	2174
Delusion of grandeur	2175
Delusion of parasitosis	2176
Delusion of reference	2177
Delusion of replacement	2178
Delusional disorder	2179
Dementia	2180
Dementia Alzheimer's type	2181
Dementia with Lewy bodies	2182
Demyelinating polyneuropathy	2183
Demyelination	2184
Dental alveolar anomaly	2185
Dental care	2186
Dental caries	2187
Dental cyst	2188
Dental discomfort	2189
Dental fistula	2190
Dental implantation	2191
Dental necrosis	2192
Dental operation	2193
Dentofacial anomaly	2194
Dependence	2195
Dependence on respirator	2196
Dependent personality disorder	2197
Depersonalisation/derealisation disorder	2198
Depilation	2199
Depressed level of consciousness	2200
Depressed mood	2201
Depression	2202
Depression suicidal	2203
Depressive delusion	2204
Depressive symptom	2205
Derealisation	2206
Dermal cyst	2207
Dermatitis	2208
Dermatitis acneiform	2209
Dermatitis allergic	2210
Dermatitis atopic	2211
Dermatitis bullous	2212
Dermatitis contact	2213
Dermatitis diaper	2214
Dermatitis exfoliative	2215
Dermatitis exfoliative generalised	2216
Dermatitis herpetiformis	2217
Dermatitis infected	2218
Dermatitis papillaris capillitii	2219
Dermatitis psoriasiform	2220
Dermatochalasis	2221
Dermatofibrosarcoma protuberans	2222
Dermatofibrosarcoma protuberans metastatic	2223
Dermatofibrosis lenticularis disseminata	2224
Dermatomyositis	2225
Dermatophytosis	2226
Dermatophytosis of nail	2227
Dermatosis	2228
Dermo-hypodermitis	2229
Dermoid cyst	2230
Desmoid tumour	2231
Desmoplastic small round cell tumour	2232
Destructive spondyloarthropathy	2233
Detachment of macular retinal pigment epithelium	2234
Detachment of retinal pigment epithelium	2235
Developmental delay	2236
Developmental hip dysplasia	2237
Device breakage	2238
Device deposit issue	2239
Device difficult to use	2240
Device dislocation	2241
Device embolisation	2242
Device expulsion	2243
Device extrusion	2244
Device failure	2245
Device fastener issue	2246
Device interaction	2247
Device issue	2248
Device leakage	2249
Device loosening	2250
Device malfunction	2251
Device occlusion	2252
Device pacing issue	2253
Device related bacteraemia	2254
Device related infection	2255
Device related sepsis	2256
Device related thrombosis	2257
Device use error	2258
Device use issue	2259
Diabetes insipidus	2260
Diabetes mellitus	2261
Diabetes mellitus inadequate control	2262
Diabetes mellitus management	2263
Diabetes with hyperosmolarity	2264
Diabetic bullosis	2265
Diabetic coma	2266
Diabetic complication	2267
Diabetic foot	2268
Diabetic gangrene	2269
Diabetic hyperglycaemic coma	2270
Diabetic hyperosmolar coma	2271
Diabetic ketoacidosis	2272
Diabetic ketoacidotic hyperglycaemic coma	2273
Diabetic ketosis	2274
Diabetic macroangiopathy	2275
Diabetic microangiopathy	2276
Diabetic nephropathy	2277
Diabetic neuropathy	2278
Diabetic retinal oedema	2279
Diabetic retinopathy	2280
Diabetic ulcer	2281
Dialysis	2282
Dialysis amyloidosis	2283
Dialysis hypotension	2284
Dialysis related complication	2285
Diaphragm neoplasm	2286
Diaphragmatic abnormal relaxation	2287
Diaphragmatic disorder	2288
Diaphragmatic hernia	2289
Diaphragmatic injury	2290
Diaphragmatic paralysis	2291
Diaphragmatic rupture	2292
Diarrhoea	2293
Diarrhoea haemorrhagic	2294
Diastolic dysfunction	2295
Diastolic hypertension	2296
Diet refusal	2297
Dieulafoy's vascular malformation	2298
Differential white blood cell count abnormal	2299
Differentiation syndrome	2300
Diffuse alopecia	2301
Diffuse alveolar damage	2302
Diffuse large B-cell lymphoma	2303
Diffuse large B-cell lymphoma recurrent	2304
Diffuse large B-cell lymphoma refractory	2305
Diffuse large B-cell lymphoma stage I	2306
Diffuse large B-cell lymphoma stage II	2307
Diffuse large B-cell lymphoma stage III	2308
Diffuse large B-cell lymphoma stage IV	2309
Diffuse panbronchiolitis	2310
Diffuse vasculitis	2311
Dihydropyrimidine dehydrogenase deficiency	2312
Dilatation atrial	2313
Dilatation ventricular	2314
Diplegia	2315
Diplopia	2316
Disability	2317
Discoloured vomit	2318
Discomfort	2319
Disease complication	2320
Disease progression	2321
Disease recurrence	2322
Disinhibition	2323
Dislocation of vertebra	2324
Disorganised speech	2325
Disorientation	2326
Disseminated Bacillus Calmette-Guerin infection	2327
Disseminated aspergillosis	2328
Disseminated cryptococcosis	2329
Disseminated cytomegaloviral infection	2330
Disseminated intravascular coagulation	2331
Disseminated intravascular coagulation in newborn	2332
Disseminated mucormycosis	2333
Disseminated mycobacterium avium complex infection	2334
Disseminated strongyloidiasis	2335
Disseminated toxoplasmosis	2336
Disseminated trichosporonosis	2337
Disseminated tuberculosis	2338
Disseminated varicella zoster virus infection	2339
Dissociation	2340
Dissociative amnesia	2341
Dissociative disorder	2342
Dissociative identity disorder	2343
Distributive shock	2344
Disturbance in attention	2345
Disturbance in sexual arousal	2346
Disturbance in social behaviour	2347
Diverticular fistula	2348
Diverticular perforation	2349
Diverticulitis	2350
Diverticulitis Meckel's	2351
Diverticulitis intestinal haemorrhagic	2352
Diverticulitis oesophageal	2353
Diverticulum	2354
Diverticulum gastric	2355
Diverticulum intestinal	2356
Diverticulum intestinal haemorrhagic	2357
Diverticulum oesophageal	2358
Dizziness	2359
Dizziness exertional	2360
Dizziness postural	2361
Donor specific antibody present	2362
Dopamine dysregulation syndrome	2363
Double hit lymphoma	2364
Double outlet right ventricle	2365
Double stranded DNA antibody	2366
Double stranded DNA antibody positive	2367
Douglas' abscess	2368
Dreamy state	2369
Dressler's syndrome	2370
Drooling	2371
Drop attacks	2372
Dropped head syndrome	2373
Drowning	2374
Drug abuse	2375
Drug clearance decreased	2376
Drug clearance increased	2377
Drug dependence	2378
Drug dose titration not performed	2379
Drug effective for unapproved indication	2380
Drug eruption	2381
Drug half-life increased	2382
Drug half-life reduced	2383
Drug hypersensitivity	2384
Drug ineffective	2385
Drug ineffective for unapproved indication	2386
Drug interaction	2387
Drug intolerance	2388
Drug level above therapeutic	2389
Drug level below therapeutic	2390
Drug level decreased	2391
Drug level fluctuating	2392
Drug level increased	2393
Drug metabolising enzyme decreased	2394
Drug reaction with eosinophilia and systemic symptoms	2395
Drug resistance	2396
Drug screen positive	2397
Drug specific antibody present	2398
Drug titration error	2399
Drug tolerance	2400
Drug tolerance decreased	2401
Drug use disorder	2402
Drug withdrawal convulsions	2403
Drug withdrawal headache	2404
Drug withdrawal syndrome	2405
Drug withdrawal syndrome neonatal	2406
Drug-induced liver injury	2407
Dry age-related macular degeneration	2408
Dry eye	2409
Dry gangrene	2410
Dry lung syndrome	2411
Dry mouth	2412
Dry skin	2413
Dry throat	2414
Ductal adenocarcinoma of pancreas	2415
Ductus arteriosus premature closure	2416
Ductus arteriosus stenosis foetal	2417
Dumping syndrome	2418
Duodenal atresia	2419
Duodenal neoplasm	2420
Duodenal obstruction	2421
Duodenal papillitis	2422
Duodenal perforation	2423
Duodenal polyp	2424
Duodenal stenosis	2425
Duodenal ulcer	2426
Duodenal ulcer haemorrhage	2427
Duodenal ulcer perforation	2428
Duodenal varices	2429
Duodenal vascular ectasia	2430
Duodenectomy	2431
Duodenitis	2432
Duodenitis haemorrhagic	2433
Dural abscess	2434
Dural arteriovenous fistula	2435
Dwarfism	2436
Dysacusis	2437
Dysaesthesia	2438
Dysarthria	2439
Dysbiosis	2440
Dyscalculia	2441
Dyschezia	2442
Dyschondrosteosis	2443
Dyschromatopsia	2444
Dysgeusia	2445
Dysgraphia	2446
Dyshidrotic eczema	2447
Dyskinesia	2448
Dyskinesia neonatal	2449
Dyslalia	2450
Dyslexia	2451
Dyslipidaemia	2452
Dyslogia	2453
Dysmenorrhoea	2454
Dysmetria	2455
Dysmetropsia	2456
Dysmorphism	2457
Dyspepsia	2458
Dysphagia	2459
Dysphemia	2460
Dysphonia	2461
Dysphoria	2462
Dysplasia	2463
Dyspnoea	2464
Dyspnoea at rest	2465
Dyspnoea exertional	2466
Dyspnoea paroxysmal nocturnal	2467
Dyspraxia	2468
Dyssomnia	2469
Dysstasia	2470
Dystonia	2471
Dysuria	2472
ECG signs of myocardial infarction	2473
ECG signs of myocardial ischaemia	2474
ECG signs of ventricular hypertrophy	2475
EGFR gene mutation	2476
Ear canal abrasion	2477
Ear canal stenosis	2478
Ear discomfort	2479
Ear disorder	2480
Ear haemorrhage	2481
Ear infection	2482
Ear infection fungal	2483
Ear infection staphylococcal	2484
Ear injury	2485
Ear malformation	2486
Ear neoplasm	2487
Ear neoplasm malignant	2488
Ear pain	2489
Ear pruritus	2490
Ear swelling	2491
Ear tuberculosis	2492
Eastern Cooperative Oncology Group performance status worsened	2493
Eating disorder	2494
Ebstein's anomaly	2495
Ecchymosis	2496
Eccrine squamous syringometaplasia	2497
Echocardiogram abnormal	2498
Eclampsia	2499
Ecthyma	2500
Ectopic ACTH syndrome	2501
Ectopic pregnancy	2502
Ectopic pregnancy with contraceptive device	2503
Ectrodactyly	2504
Eczema	2505
Eczema asteatotic	2506
Eczema herpeticum	2507
Eczema impetiginous	2508
Eczema infected	2509
Effusion	2510
Ejaculation delayed	2511
Ejaculation disorder	2512
Ejaculation failure	2513
Ejection fraction	2514
Ejection fraction decreased	2515
Elbow operation	2516
Elective surgery	2517
Electric shock sensation	2518
Electrocardiogram J wave	2519
Electrocardiogram J wave abnormal	2520
Electrocardiogram J wave increased	2521
Electrocardiogram P wave abnormal	2522
Electrocardiogram PR prolongation	2523
Electrocardiogram Q wave abnormal	2524
Electrocardiogram QRS complex abnormal	2525
Electrocardiogram QRS complex prolonged	2526
Electrocardiogram QT interval abnormal	2527
Electrocardiogram QT prolonged	2528
Electrocardiogram QT shortened	2529
Electrocardiogram R on T phenomenon	2530
Electrocardiogram RR interval prolonged	2531
Electrocardiogram ST segment depression	2532
Electrocardiogram ST segment elevation	2533
Electrocardiogram ST-T change	2534
Electrocardiogram ST-T segment abnormal	2535
Electrocardiogram ST-T segment depression	2536
Electrocardiogram T wave abnormal	2537
Electrocardiogram T wave amplitude decreased	2538
Electrocardiogram T wave amplitude increased	2539
Electrocardiogram T wave biphasic	2540
Electrocardiogram T wave inversion	2541
Electrocardiogram U wave present	2542
Electrocardiogram U-wave abnormality	2543
Electrocardiogram abnormal	2544
Electrocardiogram change	2545
Electrocardiogram delta waves abnormal	2546
Electrocardiogram low voltage	2547
Electrocardiogram repolarisation abnormality	2548
Electroconvulsive therapy	2549
Electroencephalogram abnormal	2550
Electrolyte depletion	2551
Electrolyte imbalance	2552
Electromyogram abnormal	2553
Elephantiasis	2554
Embedded device	2555
Embolic cerebral infarction	2556
Embolic stroke	2557
Embolism	2558
Embolism arterial	2559
Embolism venous	2560
Embryonal rhabdomyosarcoma	2561
Emergency care	2562
Emotional disorder	2563
Emotional disorder of childhood	2564
Emotional distress	2565
Emphysema	2566
Emphysematous cholecystitis	2567
Emphysematous cystitis	2568
Emphysematous pyelonephritis	2569
Empty sella syndrome	2570
Empyema	2571
Enanthema	2572
Encapsulating peritoneal sclerosis	2573
Encephalitis	2574
Encephalitis Japanese B	2575
Encephalitis allergic	2576
Encephalitis autoimmune	2577
Encephalitis brain stem	2578
Encephalitis cytomegalovirus	2579
Encephalitis fungal	2580
Encephalitis influenzal	2581
Encephalitis post varicella	2582
Encephalitis protozoal	2583
Encephalitis viral	2584
Encephalocele	2585
Encephalomalacia	2586
Encephalomyelitis	2587
Encephalopathy	2588
Encephalopathy neonatal	2589
End stage renal disease	2590
End-tidal CO2 decreased	2591
End-tidal CO2 increased	2592
Endocardial fibrosis	2593
Endocarditis	2594
Endocarditis bacterial	2595
Endocarditis candida	2596
Endocarditis enterococcal	2597
Endocarditis fibroplastica	2598
Endocarditis noninfective	2599
Endocarditis staphylococcal	2600
Endocrine disorder	2601
Endocrine ophthalmopathy	2602
Endolymphatic hydrops	2603
Endometrial adenocarcinoma	2604
Endometrial cancer	2605
Endometrial cancer stage II	2606
Endometrial cancer stage IV	2607
Endometrial disorder	2608
Endometrial dysplasia	2609
Endometrial hyperplasia	2610
Endometrial hypertrophy	2611
Endometrial sarcoma	2612
Endometrial stromal sarcoma	2613
Endometrial thickening	2614
Endometriosis	2615
Endometritis	2616
Endometritis decidual	2617
Endophthalmitis	2618
Endoscopy gastrointestinal abnormal	2619
Endoscopy upper gastrointestinal tract	2620
Endoscopy upper gastrointestinal tract abnormal	2621
Endothelial dysfunction	2622
Endotoxaemia	2623
Endotoxic shock	2624
Endotracheal intubation	2625
Endotracheal intubation complication	2626
Energy increased	2627
Engraft failure	2628
Engraftment syndrome	2629
Enlarged cerebral perivascular spaces	2630
Enophthalmos	2631
Enteric neuropathy	2632
Enteritis	2633
Enteritis infectious	2634
Enterobacter bacteraemia	2635
Enterobacter infection	2636
Enterobacter pneumonia	2637
Enterobacter sepsis	2638
Enterocele	2639
Enterococcal bacteraemia	2640
Enterococcal gastroenteritis	2641
Enterococcal infection	2642
Enterococcal sepsis	2643
Enterococcus test positive	2644
Enterocolitis	2645
Enterocolitis bacterial	2646
Enterocolitis fungal	2647
Enterocolitis haemorrhagic	2648
Enterocolitis infectious	2649
Enterocolitis viral	2650
Enterocolonic fistula	2651
Enterocutaneous fistula	2652
Enteropathy-associated T-cell lymphoma	2653
Enterostomy	2654
Enterovesical fistula	2655
Enthesopathy	2656
Enuresis	2657
Enzyme inhibition	2658
Eosinophil count	2659
Eosinophil count decreased	2660
Eosinophil count increased	2661
Eosinophil percentage decreased	2662
Eosinophil percentage increased	2663
Eosinophilia	2664
Eosinophilic bronchitis	2665
Eosinophilic cellulitis	2666
Eosinophilic colitis	2667
Eosinophilic cystitis	2668
Eosinophilic fasciitis	2669
Eosinophilic granulomatosis with polyangiitis	2670
Eosinophilic leukaemia	2671
Eosinophilic myocarditis	2672
Eosinophilic oesophagitis	2673
Eosinophilic otitis media	2674
Eosinophilic pneumonia	2675
Eosinophilic pneumonia acute	2676
Eosinophilic pneumonia chronic	2677
Eosinophilic pustular folliculitis	2678
Ependymitis	2679
Epicondylitis	2680
Epidermal necrosis	2681
Epidermodysplasia verruciformis	2682
Epidermolysis	2683
Epidermolysis bullosa	2684
Epididymitis	2685
Epididymitis tuberculous	2686
Epidural haemorrhage	2687
Epidural lipomatosis	2688
Epigastric discomfort	2689
Epiglottic cyst	2690
Epiglottic erythema	2691
Epiglottic oedema	2692
Epiglottis ulcer	2693
Epiglottitis	2694
Epiglottitis obstructive	2695
Epilepsy	2696
Epilepsy congenital	2697
Epileptic aura	2698
Epileptic encephalopathy	2699
Epileptic psychosis	2700
Epiphyseal fracture	2701
Epiphyses premature fusion	2702
Epiphysiolysis	2703
Episcleritis	2704
Epistaxis	2705
Epstein Barr virus positive mucocutaneous ulcer	2706
Epstein-Barr viraemia	2707
Epstein-Barr virus antibody positive	2708
Epstein-Barr virus associated lymphoma	2709
Epstein-Barr virus associated lymphoproliferative disorder	2710
Epstein-Barr virus infection	2711
Epstein-Barr virus infection reactivation	2712
Epstein-Barr virus test positive	2713
Epulis	2714
Erectile dysfunction	2715
Erection increased	2716
Erosive balanitis	2717
Erosive duodenitis	2718
Erosive oesophagitis	2719
Eructation	2720
Erysipelas	2721
Erythema	2722
Erythema annulare	2723
Erythema elevatum diutinum	2724
Erythema induratum	2725
Erythema infectiosum	2726
Erythema multiforme	2727
Erythema nodosum	2728
Erythema of eyelid	2729
Erythema toxicum neonatorum	2730
Erythroblast morphology abnormal	2731
Erythrodermic psoriasis	2732
Erythromelalgia	2733
Erythropenia	2734
Erythropoiesis abnormal	2735
Erythropsia	2736
Escherichia bacteraemia	2737
Escherichia infection	2738
Escherichia peritonitis	2739
Escherichia pyelonephritis	2740
Escherichia sepsis	2741
Escherichia test positive	2742
Escherichia urinary tract infection	2743
Essential hypertension	2744
Essential thrombocythaemia	2745
Essential tremor	2746
Eubacterium infection	2747
Euglycaemic diabetic ketoacidosis	2748
Euphoric mood	2749
Eustachian tube dysfunction	2750
Eustachian tube stenosis	2751
Euthyroid sick syndrome	2752
Evans syndrome	2753
Ewing's sarcoma	2754
Exaggerated startle response	2755
Exanthema subitum	2756
Excessive cerumen production	2757
Excessive dynamic airway collapse	2758
Excessive eye blinking	2759
Excessive granulation tissue	2760
Executive dysfunction	2761
Exercise lack of	2762
Exercise tolerance decreased	2763
Exfoliation glaucoma	2764
Exfoliative rash	2765
Exocrine pancreatic function test abnormal	2766
Exomphalos	2767
Exophthalmos	2768
Exostosis	2769
Exostosis of jaw	2770
Expanded disability status scale score increased	2771
Expired product administered	2772
Exposed bone in jaw	2773
Exposure during pregnancy	2774
Exposure to communicable disease	2775
Exposure via breast milk	2776
Exposure via ingestion	2777
Exposure via skin contact	2778
Exsanguination	2779
Exserohilum infection	2780
Extensor plantar response	2781
External auditory canal atresia	2782
External ear cellulitis	2783
External hydrocephalus	2784
Extra dose administered	2785
Extra-osseous Ewing's sarcoma metastatic	2786
Extradural abscess	2787
Extradural haematoma	2788
Extradural neoplasm	2789
Extramammary Paget's disease	2790
Extranodal marginal zone B-cell lymphoma (MALT type)	2791
Extranodal marginal zone B-cell lymphoma (MALT type) stage I	2792
Extranodal marginal zone B-cell lymphoma (MALT type) stage III	2793
Extranodal marginal zone B-cell lymphoma (MALT type) stage IV	2794
Extraocular muscle disorder	2795
Extraocular muscle paresis	2796
Extrapulmonary tuberculosis	2797
Extrapyramidal disorder	2798
Extraskeletal ossification	2799
Extraskeletal osteosarcoma	2800
Extrasystoles	2801
Extravasation	2802
Extravasation blood	2803
Extravascular haemolysis	2804
Extremity contracture	2805
Extremity necrosis	2806
Extubation	2807
Exudative retinopathy	2808
Eye abscess	2809
Eye allergy	2810
Eye colour change	2811
Eye contusion	2812
Eye discharge	2813
Eye disorder	2814
Eye excision	2815
Eye haemorrhage	2816
Eye infection	2817
Eye infection bacterial	2818
Eye infection fungal	2819
Eye infection gonococcal	2820
Eye infection intraocular	2821
Eye infection staphylococcal	2822
Eye infection syphilitic	2823
Eye infection toxoplasmal	2824
Eye infection viral	2825
Eye inflammation	2826
Eye injury	2827
Eye irritation	2828
Eye luxation	2829
Eye movement disorder	2830
Eye oedema	2831
Eye opacity	2832
Eye operation	2833
Eye pain	2834
Eye pruritus	2835
Eye swelling	2836
Eye symptom	2837
Eye ulcer	2838
Eyelash discolouration	2839
Eyelash thickening	2840
Eyelid bleeding	2841
Eyelid disorder	2842
Eyelid erosion	2843
Eyelid function disorder	2844
Eyelid margin crusting	2845
Eyelid oedema	2846
Eyelid pain	2847
Eyelid ptosis	2848
Eyelid rash	2849
Eyelid sensory disorder	2850
Eyelids pruritus	2851
Fabry's disease	2852
Face injury	2853
Face oedema	2854
Facial bones fracture	2855
Facial nerve disorder	2856
Facial neuralgia	2857
Facial pain	2858
Facial paralysis	2859
Facial paresis	2860
Facial spasm	2861
Facial wasting	2862
Factor IX inhibition	2863
Factor V deficiency	2864
Factor V inhibition	2865
Factor VIII deficiency	2866
Factor VIII inhibition	2867
Factor XIII Inhibition	2868
Factor XIII deficiency	2869
Faecal calprotectin abnormal	2870
Faecal volume increased	2871
Faecalith	2872
Faecaloma	2873
Faeces discoloured	2874
Faeces hard	2875
Faeces pale	2876
Faeces soft	2877
Failure to anastomose	2878
Failure to thrive	2879
Fall	2880
Fallopian tube abscess	2881
Fallopian tube cancer	2882
Fallopian tube cyst	2883
Fallopian tube obstruction	2884
Fallot's tetralogy	2885
False lumen dilatation of aortic dissection	2886
False positive investigation result	2887
Familial haemophagocytic lymphohistiocytosis	2888
Familial mediterranean fever	2889
Familial periodic paralysis	2890
Fanconi syndrome	2891
Fanconi syndrome acquired	2892
Fascial infection	2893
Fasciitis	2894
Fat embolism	2895
Fat embolism syndrome	2896
Fat necrosis	2897
Fat tissue decreased	2898
Fat tissue increased	2899
Fatigue	2900
Fear	2901
Fear of death	2902
Febrile convulsion	2903
Febrile infection	2904
Febrile neutropenia	2905
Feeding disorder	2906
Feeding intolerance	2907
Feeling abnormal	2908
Feeling cold	2909
Feeling drunk	2910
Feeling guilty	2911
Feeling hot	2912
Feeling jittery	2913
Feeling of body temperature change	2914
Feeling of despair	2915
Feelings of worthlessness	2916
Felty's syndrome	2917
Female genital operation	2918
Female genital tract fistula	2919
Female genital tract tuberculosis	2920
Female reproductive tract disorder	2921
Femoral artery aneurysm	2922
Femoral artery embolism	2923
Femoral artery perforation	2924
Femoral hernia incarcerated	2925
Femoral neck fracture	2926
Femoral nerve palsy	2927
Femur fracture	2928
Fever neonatal	2929
Fibrin D dimer	2930
Fibrin D dimer decreased	2931
Fibrin D dimer increased	2932
Fibrin degradation products increased	2933
Fibroadenoma of breast	2934
Fibroblast growth factor 23 increased	2935
Fibroma	2936
Fibromatosis	2937
Fibromyalgia	2938
Fibrosarcoma	2939
Fibrosis	2940
Fibrous cortical defect	2941
Fibrous dysplasia of bone	2942
Fibrous dysplasia of jaw	2943
Fibrous histiocytoma	2944
Fibula agenesis	2945
Fibula fracture	2946
Finger amputation	2947
Finger deformity	2948
Fistula	2949
Fistula discharge	2950
Fistula inflammation	2951
Fistula of small intestine	2952
Fixed eruption	2953
Flail chest	2954
Flank pain	2955
Flashback	2956
Flat affect	2957
Flat anterior chamber of eye	2958
Flat chest	2959
Flatulence	2960
Flavobacterium infection	2961
Flight of ideas	2962
Floppy infant	2963
Floppy iris syndrome	2964
Fluid intake reduced	2965
Fluid overload	2966
Fluid retention	2967
Flushing	2968
Foaming at mouth	2969
Focal dyscognitive seizures	2970
Focal nodular hyperplasia	2971
Focal segmental glomerulosclerosis	2972
Foetal acidosis	2973
Foetal anaemia	2974
Foetal anticonvulsant syndrome	2975
Foetal arrhythmia	2976
Foetal cardiac disorder	2977
Foetal chromosome abnormality	2978
Foetal cystic hygroma	2979
Foetal death	2980
Foetal disorder	2981
Foetal distress syndrome	2982
Foetal exposure during delivery	2983
Foetal exposure during pregnancy	2984
Foetal exposure timing unspecified	2985
Foetal growth abnormality	2986
Foetal growth restriction	2987
Foetal heart rate abnormal	2988
Foetal heart rate deceleration abnormality	2989
Foetal heart rate decreased	2990
Foetal heart rate disorder	2991
Foetal heart rate increased	2992
Foetal hypokinesia	2993
Foetal macrosomia	2994
Foetal malformation	2995
Foetal placental thrombosis	2996
Foeticide	2997
Folate deficiency	2998
Follicle centre lymphoma	2999
Follicular lymphoma	3000
Follicular thyroid cancer	3001
Folliculitis	3002
Fontanelle bulging	3003
Food allergy	3004
Food craving	3005
Food interaction	3006
Food poisoning	3007
Food refusal	3008
Foot amputation	3009
Foot deformity	3010
Foot fracture	3011
Foot operation	3012
Forced expiratory volume decreased	3013
Forceps delivery	3014
Forearm fracture	3015
Foreign body	3016
Foreign body aspiration	3017
Foreign body in eye	3018
Foreign body in gastrointestinal tract	3019
Foreign body in mouth	3020
Foreign body in respiratory tract	3021
Foreign body in throat	3022
Foreign body in urogenital tract	3023
Foreign body reaction	3024
Foreign body sensation in eyes	3025
Formication	3026
Fournier's gangrene	3027
Fracture	3028
Fracture delayed union	3029
Fracture nonunion	3030
Fracture of penis	3031
Fracture pain	3032
Fracture treatment	3033
Fractured coccyx	3034
Fractured sacrum	3035
Fractured skull depressed	3036
Freezing phenomenon	3037
Frequent bowel movements	3038
Frontal lobe epilepsy	3039
Frontotemporal dementia	3040
Frustration tolerance decreased	3041
Full blood count abnormal	3042
Full blood count decreased	3043
Fulminant type 1 diabetes mellitus	3044
Functional gastrointestinal disorder	3045
Fundoscopy abnormal	3046
Fungaemia	3047
Fungal abscess central nervous system	3048
Fungal cystitis	3049
Fungal disease carrier	3050
Fungal endocarditis	3051
Fungal infection	3052
Fungal oesophagitis	3053
Fungal peritonitis	3054
Fungal pharyngitis	3055
Fungal rhinitis	3056
Fungal sepsis	3057
Fungal skin infection	3058
Funisitis	3059
Furuncle	3060
Fusarium infection	3061
Fusobacterium infection	3062
Gait apraxia	3063
Gait deviation	3064
Gait disturbance	3065
Gait inability	3066
Gait spastic	3067
Galactorrhoea	3068
Gallbladder abscess	3069
Gallbladder adenocarcinoma	3070
Gallbladder cancer	3071
Gallbladder cancer metastatic	3072
Gallbladder cancer stage IV	3073
Gallbladder disorder	3074
Gallbladder enlargement	3075
Gallbladder hypofunction	3076
Gallbladder injury	3077
Gallbladder necrosis	3078
Gallbladder neoplasm	3079
Gallbladder obstruction	3080
Gallbladder oedema	3081
Gallbladder operation	3082
Gallbladder polyp	3083
